bout_id,date,time,ring,category,agecat,weightcat,phase,poule,red,red_country,blue,blue_country,red_points,blue_points,winner_corner,winner,loser,decision,status,result_source
b057,2026-09-10,13:54,3,Senior Men Assaut -56 kg,5,3,poule,A,Cheikh THIAM,Senegal,Stephane Jonkeer,Mauritius,3,1,red,Cheikh THIAM,Stephane Jonkeer,points,decided,reported
b058,2026-09-10,14:07,1,Senior Men Assaut -80 kg,5,9,poule,B,James Antill,Great Britain,Jovan Stevanović,Serbia,1,3,blue,Jovan Stevanović,James Antill,points,decided,reported
b059,2026-09-10,14:07,2,Senior Men Assaut +85 kg,5,11,poule,B,Sabri Sahraoui,Algeria,Zan ŠUBELJ,Slovenia,1,3,blue,Zan ŠUBELJ,Sabri Sahraoui,points,decided,reported
b060,2026-09-10,14:07,3,Senior Men Assaut -56 kg,5,3,poule,B,Li Yu Hung,Chinese Taipei,ALAKBAR KHANMAMMADOV,Azerbaijan,1,3,blue,ALAKBAR KHANMAMMADOV,Li Yu Hung,points,decided,reported
b061,2026-09-10,14:20,1,Senior Men Assaut -80 kg,5,9,poule,D,Beyrak BAGHIROV,Azerbaijan,Valentino Florjanić,Croatia,1,3,blue,Valentino Florjanić,Beyrak BAGHIROV,points,decided,reported
b062,2026-09-10,14:20,2,Senior Men Assaut +85 kg,5,11,poule,D,Pharelle Wilson AKOUAN,Cameroon,Gabriele Fioravanti,Italy,3,1,red,Pharelle Wilson AKOUAN,Gabriele Fioravanti,points,decided,reported
b063,2026-09-10,14:20,3,Senior Men Assaut -56 kg,5,3,poule,B,Anthony Ghassiri,Algeria,Liu KUBOTA,Japan,3,1,red,Anthony Ghassiri,Liu KUBOTA,points,decided,reported
b064,2026-09-10,14:33,1,Senior Men Assaut -80 kg,5,9,poule,E,Silvio Fortunato,Italy,Jonathan Artback,Sweden,3,1,red,Silvio Fortunato,Jonathan Artback,points,decided,reported
b065,2026-09-10,14:33,2,Senior Men Assaut +85 kg,5,11,poule,D,Keivan Zarghani,Iran,Balla TRAORÉ,Mali,1,3,blue,Balla TRAORÉ,Keivan Zarghani,points,decided,reported
b066,2026-09-10,14:33,3,Senior Men Assaut -56 kg,5,3,poule,C,Abolfazl Dowlat Abadi,Iran,PECQUET BAPTISTE,Belgium,3,1,red,Abolfazl Dowlat Abadi,PECQUET BAPTISTE,points,decided,reported
b067,2026-09-10,14:46,1,Senior Men Assaut -80 kg,5,9,poule,C,GHARRAS Amor,Tunisia,Grigorii DROGIN,Neutral Athlete,1,3,blue,Grigorii DROGIN,GHARRAS Amor,points,decided,reported
b068,2026-09-10,14:46,2,Senior Men Assaut -60kg,5,4,poule,A,Sajti Benjamin,Hungary,Andrei KOTOCHIGOV,Neutral Athlete,1,3,blue,Andrei KOTOCHIGOV,Sajti Benjamin,points,decided,reported
b069,2026-09-10,14:46,3,Senior Men Assaut -56 kg,5,3,poule,C,CAVROT-WESTERLINCK Ethan,France,Johan Felipe Caballos Peña,Colombia,3,1,red,CAVROT-WESTERLINCK Ethan,Johan Felipe Caballos Peña,points,decided,reported
b070,2026-09-10,14:59,1,Senior Men Assaut -80 kg,5,9,poule,F,AmirReza Zarghani,Iran,TOGNOCCHI JULIEN,Belgium,3,1,red,AmirReza Zarghani,TOGNOCCHI JULIEN,points,decided,reported
b071,2026-09-10,14:59,2,Senior Men Assaut -60kg,5,4,poule,B,Sim Cong Yu,Chinese Taipei,Kais Garayalde,Algeria,1,3,blue,Kais Garayalde,Sim Cong Yu,points,decided,reported
b072,2026-09-10,14:59,3,Senior Women Assaut -48 kg,6,1,poule,A,Mariama CISSE,Senegal,Aicha Ouennas,Algeria,3,1,red,Mariama CISSE,Aicha Ouennas,points,decided,reported
b073,2026-09-10,15:12,1,Senior Men Assaut -80 kg,5,9,poule,F,BIENVENU Jovan,France,KOSTIUK NAZARII,Ukraine,3,1,red,BIENVENU Jovan,KOSTIUK NAZARII,points,decided,reported
b074,2026-09-10,15:12,2,Senior Men Assaut -60kg,5,4,poule,C,Alen Nokaj,Croatia,TONG SIU WANG VINCENT,"Hong Kong, China",3,1,red,Alen Nokaj,TONG SIU WANG VINCENT,points,decided,reported
b075,2026-09-10,15:12,3,Senior Women Assaut -48 kg,6,1,poule,B,Helena Beljak,Croatia,Taeko SESHITA,Japan,3,1,red,Helena Beljak,Taeko SESHITA,points,decided,reported
b076,2026-09-10,15:25,1,Senior Men Assaut -70 kg,5,6,poule,A,LOPEZ Ousmane,Senegal,HÜSEYİN KARAAĞAÇ,Turkey,1,3,blue,HÜSEYİN KARAAĞAÇ,LOPEZ Ousmane,points,decided,reported
b077,2026-09-10,15:25,2,Senior Men Assaut -70 kg,5,6,poule,E,DIRICQ ENZO,Belgium,BRANTSYRA ARTEM,Ukraine,3,1,red,DIRICQ ENZO,BRANTSYRA ARTEM,points,decided,reported
b078,2026-09-10,15:25,3,Senior Women Assaut -56 kg,6,3,poule,B,Anja Lukić,Serbia,Asia Carducci,Italy,1,3,blue,Asia Carducci,Anja Lukić,points,decided,reported
b079,2026-09-10,15:38,1,Senior Men Assaut -70 kg,5,6,poule,B,Kamel Mayouf,Algeria,Yordan Yordanov,Bulgaria,3,1,red,Kamel Mayouf,Yordan Yordanov,points,decided,reported
b080,2026-09-10,15:38,2,Senior Men Assaut -70 kg,5,6,poule,E,ATTOUGBRE Yves Alain,Ivory Coast,GHASSIRI Johan,France,1,3,blue,GHASSIRI Johan,ATTOUGBRE Yves Alain,points,decided,reported
b081,2026-09-10,15:38,3,Senior Women Assaut -56 kg,6,3,poule,B,Katarina Klarić,Croatia,Viivi Hirvonen,Finland,3,1,red,Katarina Klarić,Viivi Hirvonen,points,decided,reported
b082,2026-09-10,15:51,1,Senior Men Assaut -80 kg,5,9,poule,B,Georgi Dimitrov,Bulgaria,Jovan Stevanović,Serbia,3,1,red,Georgi Dimitrov,Jovan Stevanović,points,decided,reported
b083,2026-09-10,15:51,2,Senior Men Assaut +85 kg,5,11,poule,A,Mutéba Orphée Francis FWAMBA,Democratic Republic of Congo,Olivier Lafleur,Mauritius,3,1,red,Mutéba Orphée Francis FWAMBA,Olivier Lafleur,points,decided,reported
b084,2026-09-10,15:51,3,Senior Men Assaut -56 kg,5,3,poule,A,SALDIRAY KALKAN,Turkey,Stephane Jonkeer,Mauritius,,3,blue,Stephane Jonkeer,SALDIRAY KALKAN,disqualification,decided,reported
b085,2026-09-10,16:04,1,Senior Men Assaut -80 kg,5,9,poule,D,Beyrak BAGHIROV,Azerbaijan,Lauri Ilves,Finland,3,1,red,Beyrak BAGHIROV,Lauri Ilves,points,decided,reported
b086,2026-09-10,16:04,2,Senior Men Assaut +85 kg,5,11,poule,B,Anthony Colli,Canada,Zan ŠUBELJ,Slovenia,1,3,blue,Zan ŠUBELJ,Anthony Colli,points,decided,reported
b087,2026-09-10,16:04,3,Senior Men Assaut -56 kg,5,3,poule,B,ALAKBAR KHANMAMMADOV,Azerbaijan,Liu KUBOTA,Japan,3,1,red,ALAKBAR KHANMAMMADOV,Liu KUBOTA,points,decided,reported
b088,2026-09-10,16:17,1,Senior Men Assaut -80 kg,5,9,poule,C,LACHENAL Edouard,Switzerland,Grigorii DROGIN,Neutral Athlete,1,3,blue,Grigorii DROGIN,LACHENAL Edouard,points,decided,reported
b089,2026-09-10,16:17,2,Senior Men Assaut +85 kg,5,11,poule,D,Pharelle Wilson AKOUAN,Cameroon,Keivan Zarghani,Iran,3,,red,Pharelle Wilson AKOUAN,Keivan Zarghani,forfait,decided,reported
b090,2026-09-10,16:17,3,Senior Women Assaut -56 kg,6,3,poule,C,Rumi UMEDA,Japan,SAPONOVA ALISA,Ukraine,1,3,blue,SAPONOVA ALISA,Rumi UMEDA,points,decided,reported
b091,2026-09-10,16:30,1,Senior Men Assaut -80 kg,5,9,poule,E,Silvio Fortunato,Italy,Alexander Kaltenbacher,Germany,3,1,red,Silvio Fortunato,Alexander Kaltenbacher,points,decided,reported
b092,2026-09-10,16:30,2,Senior Men Assaut +85 kg,5,11,poule,C,Nikola Vukčević,Serbia,Luka Sakač,Croatia,3,1,red,Nikola Vukčević,Luka Sakač,points,decided,reported
b093,2026-09-10,16:30,3,Senior Women Assaut -48 kg,6,1,poule,A,Mariama CISSE,Senegal,Lidia Abazovski,Serbia,1,3,blue,Lidia Abazovski,Mariama CISSE,points,decided,reported
b094,2026-09-10,16:43,1,Senior Men Assaut -80 kg,5,9,poule,F,AmirReza Zarghani,Iran,BIENVENU Jovan,France,1,3,blue,BIENVENU Jovan,AmirReza Zarghani,points,decided,reported
b095,2026-09-10,16:43,2,Senior Men Assaut +85 kg,5,11,poule,D,Gabriele Fioravanti,Italy,Balla TRAORÉ,Mali,1,3,blue,Balla TRAORÉ,Gabriele Fioravanti,points,decided,reported
b096,2026-09-10,16:43,3,Senior Women Assaut -48 kg,6,1,poule,B,Helena Beljak,Croatia,Mahdis Delghandi,Iran,3,1,red,Helena Beljak,Mahdis Delghandi,points,decided,reported
b097,2026-09-10,16:56,1,Senior Men Assaut -80 kg,5,9,poule,F,TOGNOCCHI JULIEN,Belgium,KOSTIUK NAZARII,Ukraine,1,3,blue,KOSTIUK NAZARII,TOGNOCCHI JULIEN,points,decided,reported
b098,2026-09-10,16:56,2,Senior Men Assaut -60kg,5,4,poule,A,Sajti Benjamin,Hungary,Gregory THOMASOO,Mauritius,1,3,blue,Gregory THOMASOO,Sajti Benjamin,points,decided,reported
b099,2026-09-10,16:56,3,Senior Women Assaut -48 kg,6,1,poule,C,Viktoria Vogel,Austria,LAPAUW CLOE,Belgium,3,1,red,Viktoria Vogel,LAPAUW CLOE,points,decided,reported
b100,2026-09-10,17:09,1,Senior Men Assaut -70 kg,5,6,poule,A,LOPEZ Ousmane,Senegal,Yonier Mauricio Cruz Salamanca,Colombia,3,1,red,LOPEZ Ousmane,Yonier Mauricio Cruz Salamanca,points,decided,reported
