date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-10,15:51,3,Senior Men Assaut -56 kg,poule,SALDIRAY KALKAN,Stephane Jonkeer,disqualification,False,blue,,3,disqualification,5,3,A,Mauritius
2026-09-10,16:04,1,Senior Men Assaut -80 kg,poule,Beyrak BAGHIROV,Lauri Ilves,3-1,False,red,3,1,points,5,9,D,Azerbaijan
2026-09-10,16:04,2,Senior Men Assaut +85 kg,poule,Anthony Colli,Zan ŠUBELJ,1-3,False,blue,1,3,points,5,11,B,Canada
2026-09-10,16:04,3,Senior Men Assaut -56 kg,poule,ALAKBAR KHANMAMMADOV,Liu KUBOTA,3-1,False,red,3,1,points,5,3,B,Azerbaijan
2026-09-10,16:17,1,Senior Men Assaut -80 kg,poule,LACHENAL Edouard,Grigorii DROGIN,1-3,False,blue,1,3,points,5,9,C,Neutral Athlete
2026-09-10,16:17,2,Senior Men Assaut +85 kg,poule,Pharelle Wilson AKOUAN,Keivan Zarghani,forfait,False,red,3,,forfait,5,11,D,Cameroon
2026-09-10,16:17,3,Senior Women Assaut -56 kg,poule,Rumi UMEDA,SAPONOVA ALISA,1-3,False,blue,1,3,points,6,3,C,Japan
2026-09-10,16:30,1,Senior Men Assaut -80 kg,poule,Silvio Fortunato,Alexander Kaltenbacher,3-1,False,red,3,1,points,5,9,E,Germany
2026-09-10,16:30,2,Senior Men Assaut +85 kg,poule,Nikola Vukčević,Luka Sakač,3-1,False,red,3,1,points,5,11,C,Croatia
2026-09-10,16:30,3,Senior Women Assaut -48 kg,poule,Mariama CISSE,Lidia Abazovski,1-3,False,blue,1,3,points,6,1,A,Senegal
2026-09-10,16:43,1,Senior Men Assaut -80 kg,poule,AmirReza Zarghani,BIENVENU Jovan,1-3,False,blue,1,3,points,5,9,F,France
2026-09-10,16:43,2,Senior Men Assaut +85 kg,poule,Gabriele Fioravanti,Balla TRAORÉ,1-3,False,blue,1,3,points,5,11,D,Italy
2026-09-10,16:43,3,Senior Women Assaut -48 kg,poule,Helena Beljak,Mahdis Delghandi,3-1,False,red,3,1,points,6,1,B,Croatia
2026-09-10,16:56,1,Senior Men Assaut -80 kg,poule,TOGNOCCHI JULIEN,KOSTIUK NAZARII,1-3,False,blue,1,3,points,5,9,F,Belgium
2026-09-10,16:56,2,Senior Men Assaut -60kg,poule,Sajti Benjamin,Gregory THOMASOO,1-3,False,blue,1,3,points,5,4,A,Hungary
2026-09-10,16:56,3,Senior Women Assaut -48 kg,poule,Viktoria Vogel,LAPAUW CLOE,3-1,False,red,3,1,points,6,1,C,Austria
2026-09-10,17:09,1,Senior Men Assaut -70 kg,poule,LOPEZ Ousmane,Yonier Mauricio Cruz Salamanca,3-1,False,red,3,1,points,5,6,A,Colombia
2026-09-10,17:09,2,Senior Men Assaut -60kg,poule,Sim Cong Yu,Robin Drigues,1-3,False,blue,1,3,points,5,4,B,Canada
